2026-07-22 10:34:54.584414,cell phone,0.78
2026-07-22 10:34:54.687617,cell phone,0.8
2026-07-22 10:34:54.794660,cell phone,0.67
2026-07-22 10:34:54.900627,cell phone,0.78
2026-07-22 10:34:55.006665,cell phone,0.78
2026-07-22 10:34:55.116191,cell phone,0.79
2026-07-22 10:34:55.224273,cell phone,0.8
2026-07-22 10:34:55.428895,cell phone,0.57
2026-07-22 10:34:55.564564,cell phone,0.64
2026-07-22 11:11:12.111788,cell phone,0.73
2026-07-22 11:11:12.239809,cell phone,0.75
2026-07-22 11:11:12.359181,cell phone,0.93
2026-07-22 11:11:12.471695,cell phone,0.74
2026-07-22 11:11:12.684921,cell phone,0.82
2026-07-22 11:11:12.805755,cell phone,0.88
2026-07-22 11:11:12.915964,cell phone,0.84
2026-07-22 11:11:13.040840,cell phone,0.84
2026-07-22 11:11:13.160132,cell phone,0.84
2026-07-22 11:11:13.278708,cell phone,0.75
2026-07-22 11:11:13.406239,cell phone,0.78
2026-07-22 11:11:13.523128,cell phone,0.72
2026-07-22 11:11:13.753099,cell phone,0.68
2026-07-22 11:11:13.854589,cell phone,0.76
2026-07-22 11:11:14.138658,cell phone,0.71
2026-07-22 11:11:14.280509,cell phone,0.78
2026-07-22 11:11:15.400517,cell phone,0.67
2026-07-22 11:11:15.534182,cell phone,0.83
2026-07-22 11:11:15.666641,cell phone,0.86
2026-07-22 11:11:15.799606,cell phone,0.88
2026-07-22 11:11:15.925823,cell phone,0.92
2026-07-22 11:11:16.054082,cell phone,0.94
2026-07-22 11:11:16.179678,cell phone,0.91
2026-07-22 11:11:16.300569,cell phone,0.79
2026-07-22 11:11:16.435189,cell phone,0.7
2026-07-22 11:13:44.956700,cell phone,0.71
2026-07-22 11:13:45.256958,cell phone,0.72
2026-07-22 11:13:45.514585,cell phone,0.77
2026-07-22 11:13:45.621064,cell phone,0.7
2026-07-22 11:13:45.781977,cell phone,0.61
2026-07-22 11:13:46.841667,cell phone,0.7
2026-07-22 11:13:47.200263,cell phone,0.6
2026-07-22 11:13:47.433696,cell phone,0.63
2026-07-22 11:13:47.535440,cell phone,0.7
2026-07-22 11:13:47.677507,cell phone,0.7
2026-07-22 11:13:47.785844,cell phone,0.65
2026-07-22 11:13:47.936137,cell phone,0.65
2026-07-22 11:13:49.645347,cell phone,0.85
2026-07-22 16:03:26.816154,cell phone,0.63
2026-07-22 16:03:29.107332,cell phone,0.8
2026-07-22 16:03:29.562651,cell phone,0.75
2026-07-22 16:16:27.110216,cell phone,0.64
2026-07-22 16:16:27.233943,cell phone,0.68
2026-07-22 16:16:27.858908,cell phone,0.66
2026-07-22 16:16:27.981136,cell phone,0.7
2026-07-22 16:16:30.529601,cell phone,0.61
2026-07-22 16:16:30.662434,cell phone,0.72
2026-07-22 16:16:30.780765,cell phone,0.75
2026-07-22 16:16:30.912757,cell phone,0.73
2026-07-22 16:16:31.080055,cell phone,0.67
2026-07-22 16:16:31.081103,cell phone,0.66
2026-07-22 16:16:31.202990,cell phone,0.71
2026-07-22 16:16:31.329447,cell phone,0.8
2026-07-22 16:16:31.509291,cell phone,0.76
2026-07-22 16:16:31.639770,cell phone,0.65
2026-07-22 16:16:31.767786,cell phone,0.72
2026-07-22 16:16:32.119926,cell phone,0.68
2026-07-22 16:16:32.379839,cell phone,0.73
2026-07-22 16:16:32.622522,cell phone,0.76
2026-07-22 16:16:32.744724,cell phone,0.77
2026-07-22 16:16:32.873226,cell phone,0.73
2026-07-22 16:16:32.999921,cell phone,0.71
2026-07-22 17:04:06.966517,cell phone,0.65
2026-07-22 17:04:06.967417,cell phone,0.6
2026-07-22 17:04:07.241237,cell phone,0.66
2026-07-22 17:05:27.632186,cell phone,0.68
2026-07-22 17:05:27.750477,cell phone,0.72
2026-07-22 17:05:27.862599,cell phone,0.71
2026-07-22 17:05:27.980552,cell phone,0.62
2026-07-22 17:05:30.212523,cell phone,0.61
2026-07-22 17:05:30.331573,cell phone,0.61
2026-07-22 17:05:30.690122,cell phone,0.7
