timestamp,event,score_added,total_score,details
2026-07-22 17:03:55.586018,Looking away,0,20,
2026-07-22 17:03:56.521358,Looking away,0,20,
2026-07-22 17:03:56.652392,Looking away,0,20,
2026-07-22 17:04:01.034369,Looking away,10,30,
2026-07-22 17:04:01.169627,Looking away,0,30,
2026-07-22 17:04:01.295250,Looking away,0,30,
2026-07-22 17:04:01.967704,Looking away,0,30,
2026-07-22 17:04:02.207052,Looking away,0,30,
2026-07-22 17:04:06.967942,Phone detected,50,80,
2026-07-22 17:04:06.967942,Phone detected,0,80,
2026-07-22 17:04:07.242737,Phone detected,0,80,
2026-07-22 17:04:08.803026,Looking away,0,80,
2026-07-22 17:04:09.035402,Looking away,0,80,
2026-07-22 17:04:09.297125,Looking away,0,80,
2026-07-22 17:04:09.588174,Looking away,0,80,
2026-07-22 17:05:22.141906,Looking away,10,10,
2026-07-22 17:05:22.468713,Looking away,0,10,
2026-07-22 17:05:22.594411,Looking away,0,10,
2026-07-22 17:05:22.750013,Looking away,0,10,
2026-07-22 17:05:24.050932,Looking away,0,10,
2026-07-22 17:05:25.185438,Looking away,0,10,
2026-07-22 17:05:25.303241,Looking away,0,10,
2026-07-22 17:05:26.473834,Looking away,0,10,
2026-07-22 17:05:27.633442,Phone detected,50,60,
2026-07-22 17:05:27.751956,Phone detected,0,60,
2026-07-22 17:05:27.862599,Phone detected,0,60,
2026-07-22 17:05:27.982193,Phone detected,0,60,
2026-07-22 17:05:28.810096,Looking away,0,60,
2026-07-22 17:05:29.371288,Looking away,0,60,
2026-07-22 17:05:29.764327,Looking away,0,60,
2026-07-22 17:05:29.874442,Looking away,0,60,
2026-07-22 17:05:30.213723,Phone detected,0,60,
2026-07-22 17:05:30.332315,Phone detected,0,60,
2026-07-22 17:05:30.691122,Phone detected,0,60,
2026-07-22 17:05:31.509256,Looking away,0,60,
2026-07-22 17:05:31.629557,Looking away,0,60,
2026-07-22 17:05:31.896327,Looking away,0,60,
2026-07-22 17:07:28.666523,Looking away,10,10,
2026-07-22 17:07:32.973089,Looking away,0,10,
2026-07-22 17:07:33.088563,Looking away,0,10,
2026-07-22 17:07:33.204463,Looking away,0,10,
2026-07-22 17:07:34.276325,Looking away,0,10,
2026-07-22 17:07:34.391292,Looking away,0,10,
2026-07-22 17:07:34.503539,Looking away,0,10,
2026-07-22 17:07:34.641428,Looking away,0,10,
2026-07-22 17:07:35.457571,Looking away,0,10,
2026-07-22 17:07:35.572274,Looking away,0,10,
2026-07-22 17:07:35.681210,Looking away,0,10,
2026-07-22 17:07:35.801061,Looking away,0,10,
2026-07-22 17:07:36.713773,Looking away,0,10,
2026-07-22 17:07:38.238572,Looking away,0,10,
2026-07-22 17:07:38.357149,Looking away,0,10,
2026-07-22 17:07:38.482111,Looking away,0,10,
2026-07-22 17:07:38.732146,Looking away,10,20,
2026-07-22 17:07:38.849041,Looking away,0,20,
2026-07-22 17:07:38.974346,Looking away,0,20,
2026-07-22 17:07:40.181618,Looking away,0,20,
2026-07-22 17:07:43.906195,Looking away,0,20,
2026-07-22 17:07:44.027630,Looking away,0,20,
2026-07-22 17:07:44.152750,Looking away,0,20,
2026-07-22 17:07:44.285538,Looking away,0,20,
2026-07-22 17:07:44.904577,Looking away,0,20,
2026-07-22 17:07:46.733204,Looking away,0,20,
2026-07-22 17:07:46.854273,Looking away,0,20,
2026-07-22 17:07:47.834165,Looking away,0,20,
2026-07-22 17:07:54.228520,Looking away,10,30,
2026-07-22 17:07:57.220685,Looking away,0,30,
2026-07-22 17:07:57.465629,Looking away,0,30,
2026-07-22 17:07:58.837396,Looking away,0,30,
2026-07-22 17:07:59.352863,Looking away,0,30,
2026-07-22 17:07:59.626617,Looking away,0,30,
2026-07-22 17:08:03.639260,Looking away,0,30,
2026-07-22 17:08:05.587870,Looking away,10,40,
